epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1086.34,1.2073,0.80291,1.27607,0.63333,0.55816,0.5346,0.30899,1.27674,0.77304,1.41686,0.00033032,0.00033032,0.00033032
43,1112.78,1.1986,0.79555,1.26528,0.6811,0.55285,0.54288,0.30901,1.27177,0.75481,1.41045,0.000324815,0.000324815,0.000324815
44,1139.34,1.1895,0.78409,1.26056,0.57454,0.54957,0.54638,0.31443,1.28382,0.75011,1.42542,0.000319311,0.000319311,0.000319311
45,1165.89,1.17898,0.77322,1.2579,0.66509,0.58419,0.55135,0.31236,1.26421,0.74274,1.4038,0.000313806,0.000313806,0.000313806
46,1192.18,1.18685,0.7809,1.26452,0.65891,0.56969,0.55861,0.31689,1.25158,0.73072,1.41113,0.000308302,0.000308302,0.000308302
47,1218.85,1.2021,0.79526,1.2751,0.63504,0.58087,0.54829,0.31014,1.25792,0.74885,1.40066,0.000302798,0.000302798,0.000302798
48,1245.35,1.16898,0.76669,1.24858,0.5758,0.57811,0.55906,0.31538,1.28207,0.75308,1.4288,0.000297293,0.000297293,0.000297293
49,1271.73,1.18641,0.77404,1.26244,0.63861,0.58201,0.54464,0.31492,1.23318,0.75703,1.38368,0.000291789,0.000291789,0.000291789
50,1298.29,1.1624,0.75446,1.24896,0.7123,0.54215,0.55543,0.31476,1.27365,0.75464,1.41708,0.000286284,0.000286284,0.000286284
51,1324.95,1.16483,0.77247,1.26289,0.66313,0.56765,0.55371,0.31722,1.25584,0.75331,1.41593,0.00028078,0.00028078,0.00028078
52,1351.55,1.15256,0.74951,1.24592,0.68639,0.55645,0.54614,0.31809,1.24289,0.74177,1.40124,0.000275276,0.000275276,0.000275276
53,1378.32,1.16594,0.76131,1.25209,0.61593,0.58864,0.55287,0.31535,1.24387,0.72993,1.38222,0.000269771,0.000269771,0.000269771
54,1404.82,1.15653,0.74906,1.24042,0.56523,0.60239,0.55392,0.31398,1.2485,0.71774,1.40242,0.000264267,0.000264267,0.000264267
55,1430.99,1.14356,0.72737,1.2324,0.67888,0.56483,0.5636,0.32071,1.24926,0.72006,1.41076,0.000258762,0.000258762,0.000258762
56,1457.76,1.15245,0.74775,1.24376,0.70176,0.54109,0.54518,0.31531,1.24521,0.74377,1.39381,0.000253258,0.000253258,0.000253258
57,1484.56,1.1412,0.73427,1.23644,0.66623,0.54435,0.53048,0.31151,1.24579,0.71776,1.40352,0.000247754,0.000247754,0.000247754
58,1511.21,1.12494,0.7166,1.22015,0.59624,0.57603,0.54879,0.31975,1.25151,0.72038,1.40566,0.000242249,0.000242249,0.000242249
59,1537.78,1.1332,0.72457,1.23235,0.5681,0.56968,0.54331,0.31188,1.26382,0.72242,1.42336,0.000236745,0.000236745,0.000236745
60,1564.41,1.14558,0.73715,1.23953,0.58633,0.549,0.53938,0.31209,1.25714,0.7244,1.41257,0.00023124,0.00023124,0.00023124
61,1591.12,1.12448,0.72096,1.21915,0.58354,0.59462,0.54238,0.31463,1.25669,0.71056,1.42763,0.000225736,0.000225736,0.000225736
62,1617.91,1.13022,0.72057,1.23464,0.57958,0.59376,0.54555,0.31335,1.25854,0.71871,1.41758,0.000220232,0.000220232,0.000220232
63,1644.15,1.14093,0.72407,1.2368,0.63703,0.59004,0.55239,0.32232,1.26095,0.71201,1.43058,0.000214727,0.000214727,0.000214727
64,1670.86,1.12163,0.71425,1.22789,0.58633,0.5926,0.56141,0.32218,1.25059,0.70443,1.40146,0.000209223,0.000209223,0.000209223
65,1697.3,1.10462,0.70187,1.21127,0.72986,0.5346,0.56037,0.32205,1.25281,0.7158,1.42495,0.000203718,0.000203718,0.000203718
66,1723.88,1.12578,0.72085,1.23204,0.69921,0.54687,0.55666,0.32268,1.24608,0.72073,1.4069,0.000198214,0.000198214,0.000198214
67,1750.25,1.10268,0.69381,1.21349,0.61964,0.60107,0.56276,0.32326,1.2435,0.70175,1.40692,0.00019271,0.00019271,0.00019271
68,1776.57,1.10072,0.70041,1.21329,0.7255,0.55608,0.57145,0.32485,1.25419,0.7036,1.43814,0.000187205,0.000187205,0.000187205
69,1802.97,1.11123,0.7027,1.21851,0.58813,0.60653,0.55437,0.32289,1.26101,0.71407,1.44039,0.000181701,0.000181701,0.000181701
70,1829.18,1.09887,0.69347,1.21002,0.60368,0.60622,0.56381,0.32077,1.27173,0.69621,1.43809,0.000176196,0.000176196,0.000176196
71,1855.8,1.10271,0.69693,1.21697,0.59417,0.58367,0.54189,0.31391,1.26677,0.71981,1.43094,0.000170692,0.000170692,0.000170692
72,1882.24,1.08947,0.68885,1.20822,0.58925,0.58665,0.55064,0.31389,1.25272,0.70944,1.41986,0.000165188,0.000165188,0.000165188
73,1908.6,1.09306,0.69208,1.21271,0.73366,0.53764,0.56354,0.32034,1.26725,0.69974,1.44208,0.000159683,0.000159683,0.000159683
74,1934.94,1.09111,0.67979,1.20784,0.75125,0.52239,0.56283,0.32167,1.25591,0.69599,1.42245,0.000154179,0.000154179,0.000154179
75,1961.15,1.09973,0.69211,1.2128,0.72988,0.53888,0.56879,0.32387,1.27042,0.69651,1.43817,0.000148674,0.000148674,0.000148674
76,1987.29,1.08007,0.67459,1.19738,0.61117,0.59115,0.55516,0.32036,1.25332,0.69263,1.42533,0.00014317,0.00014317,0.00014317
77,2013.83,1.07435,0.66675,1.20117,0.64352,0.5917,0.56731,0.32427,1.25209,0.69418,1.42706,0.000137666,0.000137666,0.000137666
78,2040.2,1.08864,0.68515,1.20359,0.62484,0.59809,0.57751,0.3246,1.26518,0.68589,1.43884,0.000132161,0.000132161,0.000132161
79,2066.84,1.08009,0.67371,1.20367,0.51482,0.60011,0.56434,0.32055,1.24741,0.68631,1.42829,0.000126657,0.000126657,0.000126657
80,2093.26,1.08637,0.6831,1.20001,0.61811,0.60329,0.56942,0.32408,1.24183,0.67982,1.41861,0.000121152,0.000121152,0.000121152
81,2119.71,1.07075,0.66293,1.19324,0.60864,0.6214,0.57742,0.32546,1.25806,0.69475,1.4274,0.000115648,0.000115648,0.000115648
82,2146.24,1.05332,0.65431,1.18061,0.50586,0.62508,0.57204,0.32502,1.2421,0.68188,1.41137,0.000110144,0.000110144,0.000110144
83,2172.73,1.06184,0.66204,1.19151,0.60365,0.61023,0.56804,0.32152,1.25763,0.68469,1.43596,0.000104639,0.000104639,0.000104639
84,2199.39,1.07512,0.66595,1.19494,0.63216,0.59639,0.56798,0.31985,1.24576,0.68965,1.4164,9.91348e-05,9.91348e-05,9.91348e-05
85,2225.79,1.04549,0.64608,1.18293,0.59855,0.59505,0.56369,0.32086,1.24928,0.67981,1.42157,9.36304e-05,9.36304e-05,9.36304e-05
86,2252.56,1.0466,0.64856,1.18253,0.60534,0.60798,0.56667,0.3218,1.26276,0.69518,1.44195,8.8126e-05,8.8126e-05,8.8126e-05
87,2279.25,1.06115,0.65873,1.18827,0.61381,0.61193,0.57399,0.32624,1.23392,0.68162,1.41347,8.26216e-05,8.26216e-05,8.26216e-05
88,2305.66,1.05309,0.65771,1.18915,0.53225,0.5751,0.57482,0.32568,1.25401,0.68409,1.43906,7.71172e-05,7.71172e-05,7.71172e-05
89,2331.97,1.03994,0.64504,1.17553,0.6032,0.59388,0.57101,0.32479,1.24769,0.67589,1.42859,7.16128e-05,7.16128e-05,7.16128e-05
90,2358.51,1.0375,0.64024,1.17125,0.51152,0.60266,0.56675,0.32619,1.25125,0.67511,1.43232,6.61084e-05,6.61084e-05,6.61084e-05
91,2398.61,1.04018,0.61032,1.21156,0.60439,0.58089,0.55258,0.31774,1.25782,0.68711,1.44875,6.0604e-05,6.0604e-05,6.0604e-05
92,2424.03,1.02172,0.59185,1.2013,0.61095,0.59669,0.56115,0.32283,1.24588,0.68541,1.43449,5.50996e-05,5.50996e-05,5.50996e-05
93,2449.88,1.01846,0.58854,1.20469,0.6891,0.54569,0.56019,0.32301,1.26288,0.68763,1.44768,4.95952e-05,4.95952e-05,4.95952e-05
94,2475.96,1.00965,0.57859,1.192,0.55827,0.5771,0.5617,0.32393,1.24844,0.68917,1.44048,4.40908e-05,4.40908e-05,4.40908e-05
95,2501.96,1.0137,0.58669,1.20459,0.53943,0.58465,0.56322,0.32358,1.26087,0.69119,1.44465,3.85864e-05,3.85864e-05,3.85864e-05
96,2528,1.00487,0.57955,1.19257,0.63744,0.58244,0.56084,0.32541,1.2443,0.68908,1.43042,3.3082e-05,3.3082e-05,3.3082e-05
97,2554.25,1.00075,0.57417,1.19192,0.6172,0.58048,0.56072,0.32527,1.24348,0.68701,1.434,2.75776e-05,2.75776e-05,2.75776e-05
98,2580.68,0.99736,0.57286,1.18545,0.62237,0.59309,0.56278,0.32637,1.25235,0.69258,1.44234,2.20732e-05,2.20732e-05,2.20732e-05
99,2606.6,0.99365,0.57607,1.18896,0.62613,0.58841,0.56028,0.32563,1.25022,0.686,1.43909,1.65688e-05,1.65688e-05,1.65688e-05
100,2632.8,0.9929,0.56896,1.18295,0.62546,0.58374,0.5606,0.32528,1.25256,0.68633,1.444,1.10644e-05,1.10644e-05,1.10644e-05
